CATEGORY	BIBTEXKEY	author	title	year	title_translation	publisher	address	pages	booktitle	booktitle_translation	editor	journal	note	number	school	url	volume	contributor	comment		
book	zhirkov1955	Жирков, Лев И.	Лакский язык	1965	Lak	Академия	Москва														
book	magometov1970	Магометов, Александр А.	Агульский язык	1970	Aghul	Мецниереба	Тбилиси														
book	alekseevshixalieva2003	Алексеев, Михаил Е. и Шихалиева, Сабрина Х.	Табасаранский язык	2003	Tabasaran	Академия	Москва														
book	authier2009	Authier, Gilles	Grammaire kryz	2009		Peeters	Paris														
incollection	desherieva1999	Дешериевa, T. И.	Нахские языки	1999	Nakh languages	Российская академия наук	Москва	166--173	Языки мира. Кавказские языки.	Languages of the World. Caucasian Languages.	Алексеев, М. Е. 					Samira Ochs					
book	abdullaevaetal2014	Абдуллаева, Айшат З. и Гаджиахмедов, Нурмагомед Э. и Кадыраджиев, Калсын С. и Керимов, Ибрагим А. и Ольмесов, Нурмагомед Х. и Хангишиев, Джангиши М.	Современный кумыкский язык	2014	Contemporary Kumyk		Махачкала														
book	baskakov1940	Баскаков, Николай А.	Ногайский язык и его диалекты: грамматика, тексты и словарь	1940	Nogai and its dialects: grammar, texts and dictionary	Издательство Академии наук СССР	Москва														
incollection	aikhenvald2017	Aikhenvald, Alexandra Y.	Imperatives and commands: a cross-linguistic view	2017		Oxford University Press	Oxford	1–45	Commands. A Cross-Linguistic Typology		Aikhenvald, A.Y. and Dixon, R.M.W.										
incollection	auweralejeune2013	Auwera, Johan van der and Lejeune, Ludo and Goussev, Valentin	The Prohibitive	2013		Max Planck Institute for Evolutionary Anthropology	Leipzig		The World Atlas of Language Structures Online		Dryer, Matthew S. and Haspelmath, Martin					https://wals.info/chapter/71					
book	forker2020dargwa	Forker, Diana	A grammar of Sanzhi Dargwa	2020		Language Science Press	Berlin												https://langsci-press.org/catalog/book/250		
book	sumbatovalander2014	Сумбатова, Нина Р. и Ландер, Юрий А.	Даргинский говор селения Танты: грамматический очерк. Вопросы синтаксиса	2014		Языки славянской культуры	Москва									Samira Verhees					
incollection	alekseev1994	Alekseev, Mikhail E.	Rutul	1994		Caravan Books	Delmar NY	147--212	The indigenous languages of the Caucasus. Volume 4. Part 2		Smeets, Riek										INCOMPLETE
phdthesis	maxmudova2002	Махмудова, Светлана М.	Грамматические классы слов и грамматические категории рутульского языка	2002	Grammatical word classes and grammatical categories of Rutul										Dagestan State University						
book	ibragimov2004	Ибрагимов, Гарун Х.	Рутульский язык	2004	Rutul	Народы Дагестана	Махачкала														
book	desheriev1959	Дешериев, Юнус Д.	Грамматика хиналугского языка	1959	Khinalug grammar	Академия	Москва														
book	kibriketal1972	Кибрик, Александр Е. и Кодзасов, Сандро В. и Оловянникова, Ирина П.	Фрагменты грамматики хиналугского языка	1972	Fragments of Khinalug grammar	Издательство Академии наук СССР	Москва														
phdthesis	molochieva2010	Molochieva, Zarina	Tense, aspect and mood in Chechen	2010											Universität Leipzig						
book	dmitriev1940	Дмитриев, Николай К.	Грамматика кумыксого языка	1940	Kumyk grammar	Академия	Москва														
article	banceletal2021	Bancel, Pierre J. and de l’Etang, Alain Matthey and Bengston John D.	The Proto-Sapiens Prohibitive/Negative Particle *ma	2021				223–241				Mother Tongue		1			22				
book	musaeva2018	Мусаева, К.М.	Ногайско-русский словарь	2018	Nogai-Russian dictionary	Nauka	Moscow														